,country_name,region,polity,Adjusted net savings (% of GNI),"Adolescent birth rate (births per 1,000 women ages 15-19)","Antenatal care coverage, at least one visit (%)",Birth registration (% under age 5),Carbon dioxide emissions (kg per 2011 PPP $ of GDP),"Carbon dioxide emissions, per capita (tonnes)",Child labour (% ages 5-17),"Child malnutrition, stunting (moderate or severe) (% under age 5)","Child marriage, women married by age 18 (% of women ages 20–24 years who are married or in union)","Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",Domestic credit provided by financial sector (% of GDP),Employment in agriculture (% of total employment),Employment in services (% of total employment),Employment to population ratio (% ages 15 and older),"Estimated gross national income per capita, female (2011 PPP $)","Estimated gross national income per capita, male (2011 PPP $)",European Union Membership (True/False),Expected years of schooling (years),"Expected years of schooling, female (years)","Expected years of schooling, male (years)",Exports and imports (% of GDP),Female share of employment in senior and middle management (%),"Female share of graduates in science, mathematics, engineering, manufacturing and construction at tertiary level (%)","Foreign direct investment, net inflows (% of GDP)",Forest area (% of total land area),Fossil fuel energy consumption (% of total energy consumption),Fresh water withdrawals (% of total renewable water resources),GDP per capita (2011 PPP $),Gender Inequality Index (GII),Government expenditure on education (% of GDP),Gross capital formation (% of GDP),"Gross domestic product (GDP), total (2011 PPP $ billions)","Gross enrolment ratio, pre-primary (% of preschool-age children)","Gross enrolment ratio, primary (% of primary school-age population)","Gross enrolment ratio, secondary (% of secondary school-age population)","Gross enrolment ratio, tertiary (% of tertiary school-age population)",Gross fixed capital formation (% of GDP),Gross national income (GNI) per capita (2011 PPP $),"HIV prevalence, adult (% ages 15-49)","Homicide rate (per 100,000 people)","Income inequality, Gini coefficient","Income inequality, Palma ratio","Income inequality, quintile ratio","Income quintile ratio, average annual change (%)",Inequality in education (%),Inequality in income (%),Inequality in life expectancy (%),International inbound tourists (thousands),International student mobility (% of total tertiary enrolment),"Internet users, female (% of female population)",Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male",Life expectancy at birth (years),"Literacy rate, adult (% ages 15 and older)",MPI 2018: Contribution of Education,MPI 2018: Contribution of Health,MPI 2018: Contribution of standard of living,Mandatory paid maternity leave (days),Mean years of schooling (years),"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Median age (years),Mobile phone subscriptions (per 100 people),"Mortality rate, female adult (per 1,000 people)","Mortality rate, male adult (per 1,000 people)",Multidimensional poverty index (MPI),"Net migration rate (per 1,000 people)",Net official development assistance received (% of GNI),OECD Membership (True/False),Old-age (65 and older) dependency ratio (per 100 people ages 15-64),Old-age pension recipients (% of statutory pension age population),"Overall loss in HDI value due to inequality, average annual change (%)",Population ages 15–64 (millions),Population ages 65 and older (millions),"Population in multidimensional poverty, headcount (%)","Population in multidimensional poverty, headcount (thousands) (for the year of the survey)","Population in multidimensional poverty, headcount (thousands) (projection for 2016)","Population in multidimensional poverty, intensity of deprivation (%)",Population in severe multidimensional poverty (%),"Population living below income poverty line, PPP $1.90 a day (%)","Population living below income poverty line, national poverty line (%)",Population under age 5 (millions),Population vulnerable to multidimensional poverty (%),Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Primary school dropout rate (% of primary school cohort),Primary school teachers trained to teach (%),"Prison population (per 100,000 people)",Private capital flows (% of GDP),Programme for International Student Assessment (PISA) score in mathematics,Programme for International Student Assessment (PISA) score in reading,Programme for International Student Assessment (PISA) score in science,Proportion of births attended by skilled health personnel (%),Proportion of schools with access to the Internet (%),"Pupil-teacher ratio, primary school (pupils per teacher)",Ratio of education and health expenditure to military expenditure,Red List Index (value),Refugees by country of origin (thousands),"Remittances, inflows (% of GDP)",Research and development expenditure (% of GDP),Rural population with access to electricity (%),Sex ratio at birth (male to female births),Share of seats in parliament (% held by women),Skilled labour force (% of labour force),Survival rate to the last grade of lower secondary general education (%),"Total debt service (% of exports of goods, services and primary income)",Total population (millions),"Unemployment, total (% of labour force)","Unemployment, youth (% ages 15–24)",United Nations Membership (True/False),"Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",Urban population (%),"Violence against women ever experienced, intimate partner (% of female population ages 15 and older)","Violence against women ever experienced, nonintimate partner (% of female population ages 15 and older)",Vulnerable employment (% of total employment),Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),Working poor at PPP$3.10 a day (% of total employment),Young age (0-14) dependency ratio (per 100 people ages 15-64),Youth not in school or employment (% ages 15-24)
0,Afghanistan,Southern Asia,-1.0,-28.5,64.5,58.6,42.0,0.16,0.3,21.4,40.9,35.0,22.5,-2.4,62.2,31.1,49.5,541.0,3030.0,0.0,10.4,8.0,12.7,55.9,,,0.3,2.1,,,1804.0,0.653,3.2,17.7,64.1,,105.0,55.0,8.0,17.7,1824.0,0.1,6.3,,,,,45.4,10.8,28.4,,-7.4,,54.2,19.5,86.7,64.0,31.7,44.8,10.4,44.8,90.0,3.8,1.9,6.0,17.3,62.3,202.0,245.0,0.273,2.9,20.6,0.0,4.8,10.7,,19.2,0.9,56.1,19442.0,19442.0,48.7,25.1,,35.8,5.3,18.0,25.1,11.4,36.9,,,74.0,-0.4,,,,50.5,,44.0,13.6,0.837,2621.1,1.82,,79.0,1.06,27.4,,,3.5,35.5,8.8,17.7,1.0,24.5,25.2,50.8,,66.1,7.2,98.2,79.8,
1,Albania,Southern Europe,9.0,6.9,20.7,97.3,99.0,0.18,2.0,3.3,23.2,10.0,69.3,63.3,40.3,41.1,48.3,9702.0,14028.0,0.0,14.8,15.0,14.4,78.1,29.3,13.4,7.9,28.2,61.4,4.3,11803.0,0.238,3.5,25.2,33.9,88.0,110.0,95.0,61.0,25.2,11886.0,0.1,2.7,29.0,1.0,4.3,-0.8,8.5,12.2,9.2,4070.0,-14.9,,56.1,47.2,64.9,78.5,97.2,29.9,33.1,37.0,365.0,10.0,9.8,10.2,36.2,115.2,50.0,79.0,0.008,-6.4,1.4,0.0,19.0,77.0,-3.0,2.0,0.4,2.0,60.0,60.0,37.8,0.2,1.1,14.3,0.2,7.3,92.9,93.1,92.8,11.2,,189.0,-9.2,413.0,405.0,427.0,,96.0,18.0,8.8,0.855,12.2,10.05,0.2,100.0,1.08,27.9,55.9,93.0,15.2,2.9,13.9,30.0,1.0,12.9,59.4,24.6,,57.2,38.1,1.5,25.1,32.8
2,Algeria,Northern Africa,2.0,19.3,10.1,92.7,100.0,0.28,3.7,4.3,11.7,3.0,57.1,66.8,12.8,40.2,37.3,4232.0,23181.0,0.0,14.4,14.6,14.1,60.4,6.9,26.9,1.0,0.8,100.0,66.9,13914.0,0.442,,47.8,574.9,,114.0,,43.0,29.9,13802.0,0.1,1.4,27.6,1.0,4.0,,33.7,11.4,15.1,2039.0,-0.9,,41.4,15.2,67.3,76.3,75.1,46.6,30.3,23.1,98.0,8.0,7.6,8.6,27.5,115.8,83.0,106.0,0.008,-0.8,0.1,0.0,9.6,63.6,,26.7,2.6,2.1,811.0,858.0,38.8,0.3,0.5,5.5,4.7,5.9,37.7,37.5,37.9,6.4,100.0,162.0,-1.0,360.0,350.0,376.0,96.6,53.0,24.0,,0.904,4.0,1.23,0.1,99.0,1.05,21.3,59.2,75.0,1.0,41.3,10.0,23.9,1.0,7.0,72.1,,,27.9,29.3,9.7,45.4,21.2
3,Angola,Middle Africa,-2.0,-38.4,151.6,81.6,25.0,0.21,1.3,18.7,37.6,30.0,13.7,29.5,50.6,40.8,71.3,5063.0,6546.0,0.0,11.8,11.0,12.7,57.6,,9.9,4.3,46.4,48.3,,5819.0,,,7.8,173.3,,,,9.0,7.8,5790.0,1.9,4.8,42.7,2.1,9.0,,34.3,28.9,33.8,397.0,,,77.6,75.3,80.1,61.8,66.0,32.0,21.2,46.8,90.0,5.1,,,16.4,45.1,203.0,277.0,0.283,0.7,0.2,0.0,4.7,14.5,-2.7,15.1,0.7,51.2,14743.0,14743.0,55.3,32.5,30.1,36.6,5.4,15.5,,,,68.1,47.0,106.0,-1.5,,,,46.9,,,,0.936,8.3,0.0,,16.0,1.03,30.5,11.2,,26.5,29.8,8.2,19.1,1.0,38.0,64.8,34.8,,66.7,22.3,59.0,92.2,
4,Argentina,South America,9.0,5.9,62.8,98.1,100.0,0.25,4.7,,,,81.3,39.2,0.5,76.1,54.6,12395.0,24789.0,0.0,17.4,18.7,16.2,25.0,39.8,9.1,1.9,9.9,88.5,4.3,18934.0,0.358,5.9,19.1,838.2,74.0,110.0,107.0,86.0,14.8,18461.0,0.4,5.9,42.4,2.1,9.5,-3.1,6.2,25.8,9.5,5559.0,,70.1,59.9,47.3,73.2,76.7,98.1,,,,90.0,9.9,10.1,9.7,30.8,145.3,74.0,151.0,,0.1,0.0,0.0,17.5,89.3,-3.9,28.3,5.0,,,,,,,,3.7,,64.8,65.9,62.8,4.7,,160.0,-7.1,456.0,475.0,475.0,99.6,36.0,,14.9,0.861,0.1,0.09,0.6,100.0,1.04,38.9,63.4,85.0,34.9,44.3,8.7,24.7,1.0,,91.7,,,21.4,50.8,2.8,38.9,19.7
5,Armenia,Western Asia,7.0,0.0,23.2,99.6,99.0,0.24,1.9,4.1,9.4,5.0,57.1,58.2,34.4,49.7,49.2,6358.0,12281.0,0.0,13.0,13.4,12.6,88.5,,7.3,2.1,11.7,74.6,42.1,8788.0,0.262,2.8,19.0,25.8,52.0,94.0,86.0,51.0,17.3,9144.0,0.2,3.0,32.5,1.3,5.1,-0.7,2.9,17.4,9.0,1260.0,-3.1,63.4,60.1,51.4,70.6,74.8,99.7,36.8,33.1,30.1,140.0,11.7,11.7,11.7,33.9,117.4,74.0,174.0,0.001,-2.1,3.0,0.0,16.3,68.5,-1.2,2.0,0.3,0.2,5.0,5.0,36.2,0.0,1.8,29.4,0.2,2.7,97.2,96.9,97.6,5.3,,130.0,-1.2,,,,99.8,100.0,,3.0,0.845,10.8,13.34,0.3,100.0,1.13,18.1,94.6,97.0,34.1,2.9,18.2,39.0,1.0,12.5,63.1,8.2,,41.6,40.9,10.1,29.1,36.6
6,Australia,Australia and New Zealand,10.0,5.3,12.9,98.3,100.0,0.35,15.4,,2.0,,66.9,177.1,2.6,78.3,61.1,35323.0,51857.0,0.0,22.9,23.3,22.5,41.9,32.6,9.7,3.7,16.2,93.4,3.4,44649.0,0.109,5.2,24.2,1098.3,169.0,101.0,154.0,122.0,24.0,43560.0,0.1,0.9,34.7,1.4,5.8,0.4,2.6,17.7,3.6,8263.0,16.8,84.9,64.8,59.2,70.5,83.1,,,,,0.0,12.9,12.9,12.8,37.4,110.1,45.0,76.0,,8.0,,1.0,23.7,74.3,0.6,16.0,3.8,,,,,,,,1.6,,90.0,90.0,89.9,,,151.0,-3.6,494.0,503.0,510.0,99.7,,,8.0,0.828,0.0,0.15,2.2,100.0,1.06,32.7,78.3,,,24.5,5.7,12.6,1.0,,85.9,16.9,,10.8,99.2,,29.0,8.7
7,Austria,Western Europe,10.0,12.7,6.9,,100.0,0.16,6.9,,,,65.7,126.7,4.3,70.1,57.0,35626.0,55591.0,1.0,16.1,16.4,15.8,104.7,29.5,14.3,3.3,46.9,66.0,4.5,45437.0,0.071,5.4,25.1,400.3,104.0,102.0,101.0,83.0,23.5,45415.0,,0.7,30.5,1.1,4.9,1.3,2.6,17.7,3.0,28121.0,12.3,80.7,60.3,55.0,66.0,81.8,,,,,112.0,12.1,11.8,12.6,43.2,163.8,46.0,86.0,,6.3,,1.0,28.8,100.0,1.0,5.8,1.7,,,,,,,,0.4,,100.0,100.0,100.0,0.4,,95.0,5.6,497.0,485.0,495.0,98.4,100.0,10.0,21.0,0.896,0.0,0.72,3.1,100.0,1.06,33.6,86.1,100.0,,8.7,5.5,10.4,1.0,,58.1,13.0,4.0,8.1,98.4,,21.1,7.7
8,Azerbaijan,Western Asia,-7.0,1.7,53.5,91.7,94.0,0.24,3.9,,18.0,11.0,,29.5,37.4,48.5,62.8,10089.0,21152.0,0.0,12.7,12.6,12.7,90.7,,15.2,7.0,13.8,98.4,34.5,15847.0,0.318,3.0,24.1,156.3,23.0,106.0,,27.0,23.6,15600.0,0.1,2.1,16.6,0.6,2.3,0.0,3.8,8.9,17.0,2044.0,-18.3,74.7,66.1,62.9,69.5,72.1,99.8,29.1,39.0,31.9,126.0,10.7,10.5,11.0,30.3,104.8,85.0,173.0,0.019,0.0,0.2,0.0,8.5,81.1,-3.9,6.9,0.6,4.9,423.0,477.0,38.4,0.5,,6.0,0.9,12.2,95.6,93.8,97.5,1.1,90.0,236.0,-7.3,,,,99.8,27.0,15.0,1.8,0.91,10.3,2.78,0.2,100.0,1.13,16.8,93.0,96.0,8.1,9.8,5.0,13.7,1.0,,55.3,13.5,,56.1,27.7,1.5,32.9,
9,Bahrain,Western Asia,-10.0,8.0,13.4,100.0,,0.53,23.4,,,,,90.9,1.0,63.9,71.3,18774.0,55130.0,0.0,16.0,16.6,15.6,139.6,,12.6,1.5,0.8,100.0,,43291.0,0.222,2.7,29.6,64.6,55.0,101.0,104.0,47.0,25.9,41580.0,0.1,0.5,,,,,19.0,,5.6,10158.0,-1.6,99.0,72.2,44.0,87.0,77.0,94.6,,,,60.0,9.4,9.3,9.5,31.2,210.1,58.0,73.0,,6.4,,0.0,3.0,40.1,,1.2,0.0,,,,,,,,0.1,,59.2,63.7,57.1,1.4,84.0,301.0,9.9,,,,99.7,100.0,12.0,1.7,0.849,0.5,,0.1,100.0,1.04,15.0,,99.0,,1.5,1.3,5.8,1.0,,89.2,,,1.8,75.4,,25.3,
