indicator_name,autoc,democ,indicator_id,polity,value
Employment in services (% of total employment),1.3395061728395061,5.444444444444445,150706,3.697530864197531,52.98700564971752
Labour force participation rate (% ages 15 and older),1.3395061728395061,5.444444444444445,148206,3.697530864197531,62.81129943502825
"Labour force participation rate (% ages 15 and older), female",1.3395061728395061,5.444444444444445,48706,3.697530864197531,52.26384180790961
"Labour force participation rate (% ages 15 and older), male",1.3395061728395061,5.444444444444445,48806,3.697530864197531,73.0186440677966
Old-age pension recipients (% of statutory pension age population),1.0469798657718121,5.684563758389261,123806,4.194630872483222,54.052023121387286
"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",1.3395061728395061,5.444444444444445,175106,3.697530864197531,39.90169491525424
"Unemployment, total (% of labour force)",1.3395061728395061,5.444444444444445,140606,3.697530864197531,7.624293785310734
"Unemployment, youth (% ages 15–24)",1.3395061728395061,5.444444444444445,110906,3.697530864197531,17.02542372881356
Vulnerable employment (% of total employment),1.3395061728395061,5.444444444444445,43006,3.697530864197531,37.00677966101695
Youth not in school or employment (% ages 15-24),0.24761904761904763,6.447619047619048,147906,5.571428571428571,17.706194690265487
